Job Title,Company,Location,Skills,Salary Min,Salary Max,URL
"(713) Talent Acquisition Business Partner, Capture & Growth",Arlo Solutions,USA,,,,https://jobicy.com/jobs/151961-713-talent-acquisition-business-partner-capture-growth
Growth Marketing Manager,"Keyfactor, Inc.","Canada,  USA","SQL, Git, RAG",,,https://jobicy.com/jobs/151960-growth-marketing-manager-3
Commerce Lifecycle Marketing Manager,GoDaddy,Canada,"SQL, RAG",101500.0,152500.0,https://jobicy.com/jobs/151959-commerce-lifecycle-marketing-manager
Senior Technical Account Manager,EDB,USA,"SQL, PostgreSQL, Kubernetes, RAG, Excel",,,https://jobicy.com/jobs/151958-senior-technical-account-manager-2
"(711) Senior Manager, Talent Acquisition",Arlo Solutions,USA,,,,https://jobicy.com/jobs/151957-711-senior-manager-talent-acquisition
Associate Technical Account Manager,"Keyfactor, Inc.",USA,"Git, RAG",,,https://jobicy.com/jobs/151956-associate-technical-account-manager
Aftermarket - Technical Support I,GoDaddy,Bulgaria,RAG,,,https://jobicy.com/jobs/151955-aftermarket-technical-support-i
Business Development Manager - Montpellier - CDI,Deliveroo,France,"C, Excel",,,https://jobicy.com/jobs/151954-business-development-manager-montpellier-cdi
Senior Account Executive - Public Sector,EDB,USA,"SQL, PostgreSQL, RAG, Excel",,,https://jobicy.com/jobs/151953-senior-account-executive-public-sector
(697) HR Operations Analyst,Arlo Solutions,USA,"C, LLM, Excel",,,https://jobicy.com/jobs/151952-697-hr-operations-analyst
"Cyber-Security Operations Analyst III, Product AppSec",Veeam Software,USA,"Python, Git, Docker, Kubernetes, AWS, Azure, GCP, RAG, Linux, Jenkins, Terraform",102200.0,234800.0,https://jobicy.com/jobs/151951-cyber-security-operations-analyst-iii-product-appsec
QA Engineer,Workwize,Europe,"Java, JavaScript, React, Git, AWS, RAG, Excel",,,https://jobicy.com/jobs/151950-qa-engineer-4
Account Executive New Business,Twilio,Australia,"RAG, Excel",,,https://jobicy.com/jobs/151949-account-executive-new-business-2
Strategic Account Executive,Dandy,USA,C,300000.0,334500.0,https://jobicy.com/jobs/151948-strategic-account-executive-3
"Senior Software Engineer, Agents",RevenueCat,"EMEA,  LATAM,  Canada,  USA","C, LLM",230000.0,230000.0,https://jobicy.com/jobs/151947-senior-software-engineer-agents
Customer Success Engineer with German,Veeam Software,Poland,"AWS, Azure, RAG, Excel",,,https://jobicy.com/jobs/151946-customer-success-engineer-with-german
Product Engineer (Remote EU/UK Based),Workwize,Europe,RAG,,,https://jobicy.com/jobs/151945-product-engineer-remote-eu-uk-based
Account Executive 4,Twilio,Singapore,"C, Git, RAG, Excel",,,https://jobicy.com/jobs/151944-account-executive-4-2
"Manager, Finance Systems",Dandy,USA,RAG,130050.0,153000.0,https://jobicy.com/jobs/151943-manager-finance-systems
"Senior Data Scientist, Fraud & Risk",RevenueCat,"LATAM,  Canada,  USA","Python, C, SQL",220000.0,220000.0,https://jobicy.com/jobs/151942-senior-data-scientist-fraud-risk
Delivery Solutions Architect,Databricks,"Denmark,  Finland,  Sweden","Python, RAG, Excel",,,https://jobicy.com/jobs/151940-delivery-solutions-architect
Summer Intern (Ecommerce Operations),Inspiration Commerce Group,"Canada,  Europe","SQL, AWS, RAG",,,https://jobicy.com/jobs/151939-summer-intern-ecommerce-operations
Software Engineer II | AI & Agentic Systems,Jamf,Poland,"Python, Java, Git, LLM, RAG, Jenkins",,,https://jobicy.com/jobs/151937-software-engineer-ii-ai-agentic-systems
Enterprise Account Executive - Benelux,Chainguard,Netherlands,"Git, Docker, Kubernetes, AWS, Azure, GCP, Excel, Jenkins",,,https://jobicy.com/jobs/151936-enterprise-account-executive-benelux
AI Engineer - FDE (Forward Deployed Engineer),Databricks,UK,"SQL, AWS, Azure, GCP, Pandas, Scikit-learn, PyTorch, Machine Learning, Generative AI, LLM, RAG, Excel",,,https://jobicy.com/jobs/151935-ai-engineer-fde-forward-deployed-engineer-2
Finance Manager/Lead,Inspiration Commerce Group,"Canada,  Europe","AWS, Excel",,,https://jobicy.com/jobs/151934-finance-manager-lead
Sales Engineer | EMEIA,Jamf,Germany,RAG,,,https://jobicy.com/jobs/151932-sales-engineer-emeia
Customer Success Manager - EMEA,Chainguard,Germany,"C, AWS, Azure, GCP, Linux",,,https://jobicy.com/jobs/151931-customer-success-manager-emea-2
Customer Success Manager,Smartling,Ireland,"RAG, Excel",,,https://jobicy.com/jobs/151930-customer-success-manager-26
